"Rank","Name","Symbol","Market Cap","Price","Circulating Supply","Volume (24h)","% 1h","% 24h","% 7d"
"1","Bitcoin","BTC","211453112792","11417.17","18520625","20014243944","0.03","0.58","0.47"
"2","Ethereum","ETH","42245311060","373.67","113056200","11360943502","0.17","1.40","-0.19"
"3","Tether","USDT","15830866904","1.00","15816963304","31869029009","0.01","0.01","-0.02"
"4","XRP","XRP","10957090886","0.242156","45248061374","1130816008","0.03","0.05","-5.81"
"5","Bitcoin Cash","BCH","4601277658","248.07","18548125","2102956413","-0.08","-0.96","2.64"
"6","Binance Coin","BNB","4440781520","30.75","144406561","433111895","0.03","0.78","8.51"
"7","Chainlink","LINK","4178167735","10.75","388509556","817777166","0.28","1.14","1.37"
"8","Polkadot","DOT","3462041085","4.06","852647705","201897703","0.02","2.60","-5.06"
"9","Cardano","ADA","3299776625","0.106060","31112484646","418665568","0.29","-0.60","-1.20"
"10","Litecoin","LTC","3121049340","47.51","65693678","2769281367","0.04","0.10","-5.54"
"11","Bitcoin SV","BSV","2954743638","159.32","18546365","590376105","0.08","-0.13","-7.95"
"12","USD Coin","USDC","2708150099","1.00","2707066314","305488471","0.02","0.01","-0.02"
"13","Crypto.com Coin","CRO","2530526314","0.121874","20763470320","80472048","-0.78","-10.51","-21.50"
"14","EOS","EOS","2379659759","2.54","936999148","1748080796","-0.03","-0.27","-5.25"
"15","Monero","XMR","2149430824","121.23","17730189","1401255431","-0.57","0.84","-1.54"
"16","TRON","TRX","1841968623","0.025704","71659657369","779704533","-0.34","-0.60","-2.72"
"17","Tezos","XTZ","1715068321","2.30","747008685","86828385","0.49","1.12","0.82"
"18","Stellar","XLM","1686891054","0.081056","20811408047","182234961","0.49","-0.50","4.17"
"19","Neo","NEO","1239101455","17.57","70538831","339437126","0.09","1.02","-1.00"
"20","Wrapped Bitcoin","WBTC","1200765927","11421.55","105132","23360357","0.01","0.72","0.47"
"21","UNUS SED LEO","LEO","1191659902","1.19","999498893","8822765","0.06","0.60","0.28"
"22","Cosmos","ATOM","1142618289","5.59","204547715","114673988","0.53","3.21","-2.02"
"23","NEM","XEM","1024330155","0.113814","8999999999","16722764","-0.23","-0.69","-5.74"
"24","Dai","DAI","910682887","1.01","904064896","60953815","-0.31","-0.12","-0.45"
"25","Huobi Token","HT","893009243","4.33","206053973","172613102","0.02","-1.22","-7.35"
"26","Binance USD","BUSD","809829491","1.00","809505689","205632849","0.02","0.02","0.04"
"27","IOTA","MIOTA","755270303","0.271726","2779530283","3984670","-0.50","-0.16","-8.52"
"28","VeChain","VET","743076349","0.011554","64315576989","103942733","0.47","5.93","-1.72"
"29","Zcash","ZEC","672346865","65.42","10277750","820167355","0.00","4.45","-7.35"
"30","Dash","DASH","650680888","66.63","9764937","524548833","-0.27","0.48","-6.33"
"31","THETA","THETA","640727259","0.640727","1000000000","32621781","1.50","-1.41","-15.18"
"32","Ethereum Classic","ETC","607271008","5.22","116313299","549887701","-0.10","-0.09","-3.34"
"33","Filecoin","FIL","571848983","34.79","16439132","113660639","-3.22","-22.56","38.31"
"34","Uniswap","UNI","568497052","3.04","187052559","244313245","0.02","0.14","-9.95"
"35","Maker","MKR","559400320","556.99","1004336","19082786","0.98","1.19","-4.34"
"36","OMG Network","OMG","466490788","3.33","140245398","94809374","0.71","1.61","-8.67"
"37","yearn.finance","YFI","444743686","14840.76","29968","2368494290","-0.45","7.90","-11.31"
"38","Ontology","ONT","441406647","0.572276","771317433","102089083","-0.12","0.86","-3.82"
"39","UMA","UMA","442417866","8.00","55282412","9216368","3.56","4.52","-15.61"
"40","Synthetix Network Token","SNX","402563787","3.91","102884336","20779884","0.18","-1.11","-7.16"
"41","ABBC Coin","ABBC","373164239","0.635464","587230742","52584521","-0.66","0.60","76.67"
"42","Aave","AAVE","370656259","40.10","9243288","37870153","0.96","-6.12","-18.55"
"43","TrueUSD","TUSD","355630602","1.00","355444192","53057260","0.01","0.00","-0.06"
"44","Compound","COMP","353170246","106.38","3319780","53311952","0.27","1.70","-6.85"
"45","FTX Token","FTT","338953519","3.59","94346958","1359794","0.12","0.79","2.02"
"46","BitTorrent","BTT","335894068","0.000339","989964068451","57913954","0.36","0.67","-3.77"
"47","Algorand","ALGO","330785667","0.312501","1058509900","84269110","0.08","0.07","-2.68"
"48","Dogecoin","DOGE","328229150","0.002590","126728382207","98660384","0.01","-0.14","-3.13"
"49","Waves","WAVES","319765271","3.10","103298170","86357783","-1.69","1.76","26.40"
"50","Basic Attention Token","BAT","318473037","0.214551","1484368945","384085612","-0.34","-0.43","-2.35"
"51","DigiByte","DGB","318939460","0.023351","13658272139","5781064","-0.25","-0.48","-7.55"
"52","Celsius","CEL","302200031","1.27","238863520","2204551","-0.31","-0.23","-4.73"
"53","Ren","REN","299318712","0.338392","884532525","73721715","0.13","2.43","1.59"
"54","HedgeTrade","HEDG","290412736","0.834538","347992397","619765","-1.60","-0.50","-8.23"
"55","0x","ZRX","290662584","0.391067","743255196","51132431","0.01","0.75","0.08"
"56","Kusama","KSM","262671446","31.01","8470098","20523744","2.06","7.81","4.74"
"57","OKB","OKB","260943894","4.35","60000000","81423599","0.49","-7.69","-28.75"
"58","Celo","CELO","255754775","2.06","124447717","2506843","-1.23","-0.21","-2.00"
"59","Paxos Standard","PAX","243977816","0.996023","244951954","330907426","-0.13","-0.62","-0.62"
"60","ICON","ICX","217209103","0.380994","570110889","9203994","-0.63","0.97","-5.62"
"61","Qtum","QTUM","213742123","2.20","97317488","136866434","0.11","0.40","-5.94"
"62","Energy Web Token","EWT","198558205","6.60","30062138","417335","-0.02","1.46","-13.41"
"63","Loopring","LRC","194558122","0.169960","1144730218","57561130","-1.06","-2.04","-14.53"
"64","Zilliqa","ZIL","193003377","0.018336","10526178720","18037150","0.07","0.79","-8.98"
"65","Aave","LEND","183165508","0.490560","373380206","5653831","-0.09","19.23","-5.20"
"66","Hedera Hashgraph","HBAR","182958549","0.032488","5631549796","20359316","0.19","0.41","-5.01"
"67","Kyber Network","KNC","181846077","0.917131","198277165","22840160","0.48","-0.76","-3.84"
"68","NXM","NXM","171190818","30.59","5596324","6941146","0.23","0.96","-8.34"
"69","Decred","DCR","148758239","12.25","12139825","2989551","-0.12","-5.62","-1.16"
"70","NEAR Protocol","NEAR","143540882","0.820813","174876443","14187398","0.51","1.60","0.00"
"71","Augur","REP","143457948","13.04","11000000","6363271","-0.23","-0.67","-5.12"
"72","HUSD","HUSD","141591801","1.00","141539606","20108557","0.02","-0.01","-0.02"
"73","Ocean Protocol","OCEAN","134666912","0.354813","379543323","2806116","0.45","2.24","12.57"
"74","Bitcoin Gold","BTG","135738350","7.75","17513924","3248007","0.18","0.51","-6.38"
"75","Lisk","LSK","134858153","1.07","126168314","1766702","-0.39","-1.10","-10.20"
"76","Band Protocol","BAND","131913701","6.44","20494033","41285045","1.60","3.72","-1.39"
"77","Siacoin","SC","129583484","0.002885","44920882992","1044661","-0.45","0.14","-9.93"
"78","Quant","QNT","126813783","10.50","12072738","2246500","0.97","1.92","4.66"
"79","CyberVein","CVT","126420755","0.119219","1060404496","137391","1.33","2.22","2.15"
"80","Enjin Coin","ENJ","122754414","0.149131","823130411","3208467","0.09","-0.49","-8.36"
"81","Terra","LUNA","121859367","0.314992","386864647","1284893","0.08","-0.02","3.68"
"82","Revain","REV","120598521","0.010501","11484410729","428635","0.17","0.49","0.35"
"83","The Midas Touch Gold","TMTG","119433927","0.021302","5606574271","5278694","-2.04","-0.88","-5.84"
"84","ZB Token","ZB","115631059","0.249587","463288810","7641920","-0.69","-3.08","-8.00"
"85","Decentraland","MANA","112679549","0.075952","1483559515","10934945","0.58","1.54","-4.49"
"86","Blockstack","STX","110399889","0.169250","652288448","606380","-0.39","-0.08","3.75"
"87","Aragon","ANT","109592192","3.31","33142159","8672045","0.44","1.15","-9.27"
"88","Nano","NANO","108931203","0.817505","133248297","4027649","-0.54","0.29","-1.33"
"89","Arweave","AR","108619110","3.25","33394701","3459185","-0.79","3.70","-35.55"
"90","Elrond","EGLD","104071494","7.59","13710605","3292204","0.01","0.95","-2.60"
"91","Ampleforth","AMPL","104148808","1.15","90475686","6872890","10.62","2.47","36.62"
