"","address_id","change_id","address_type","address_number","suburb_locality","town_city","full_address_number","full_road_name","full_address","road_section_id","gd2000_xcoord","gd2000_ycoord","suburb_locality_ascii","town_city_ascii","full_road_name_ascii","full_address_ascii","unit_value","address_number_suffix"
"1",1755506,1474036,"Road",88,"Christchurch Central","Christchurch","88","Cambridge Terrace","88 Cambridge Terrace, Christchurch Central, Christchurch",37106,172.6331,-43.5331,"Christchurch Central","Christchurch","Cambridge Terrace","88 Cambridge Terrace, Christchurch Central, Christchurch",NA,NA
"2",1757454,4901363,"Road",78,"Christchurch Central","Christchurch","78","Cashel Street","78 Cashel Street, Christchurch Central, Christchurch",44872,172.6338,-43.5333,"Christchurch Central","Christchurch","Cashel Street","78 Cashel Street, Christchurch Central, Christchurch",NA,NA
"3",219847,4903098,"Road",100,"Christchurch Central","Christchurch","100","Oxford Terrace","100 Oxford Terrace, Christchurch Central, Christchurch",38654,172.6339,-43.5337,"Christchurch Central","Christchurch","Oxford Terrace","100 Oxford Terrace, Christchurch Central, Christchurch",NA,NA
"4",2107808,2958008,"Road",79,"Christchurch Central","Christchurch","1/79","Cashel Street","1/79 Cashel Street, Christchurch Central, Christchurch",44872,172.6341,-43.533,"Christchurch Central","Christchurch","Cashel Street","1/79 Cashel Street, Christchurch Central, Christchurch","1",NA
"5",2107813,2958013,"Road",79,"Christchurch Central","Christchurch","2/79","Cashel Street","2/79 Cashel Street, Christchurch Central, Christchurch",44872,172.6342,-43.533,"Christchurch Central","Christchurch","Cashel Street","2/79 Cashel Street, Christchurch Central, Christchurch","2",NA
"6",2107865,2958184,"Road",122,"Christchurch Central","Christchurch","122","Oxford Terrace","122 Oxford Terrace, Christchurch Central, Christchurch",44864,172.6341,-43.5329,"Christchurch Central","Christchurch","Oxford Terrace","122 Oxford Terrace, Christchurch Central, Christchurch",NA,NA
"7",2107809,2958009,"Road",79,"Christchurch Central","Christchurch","101/79","Cashel Street","101/79 Cashel Street, Christchurch Central, Christchurch",44872,172.6341,-43.5329,"Christchurch Central","Christchurch","Cashel Street","101/79 Cashel Street, Christchurch Central, Christchurch","101",NA
"8",1755502,1474032,"Road",100,"Christchurch Central","Christchurch","100","Cambridge Terrace","100 Cambridge Terrace, Christchurch Central, Christchurch",37106,172.6332,-43.5326,"Christchurch Central","Christchurch","Cambridge Terrace","100 Cambridge Terrace, Christchurch Central, Christchurch",NA,NA
"9",2107814,2958014,"Road",79,"Christchurch Central","Christchurch","3/79","Cashel Street","3/79 Cashel Street, Christchurch Central, Christchurch",44872,172.6343,-43.533,"Christchurch Central","Christchurch","Cashel Street","3/79 Cashel Street, Christchurch Central, Christchurch","3",NA
"10",220250,4901367,"Road",88,"Christchurch Central","Christchurch","88","Cashel Street","88 Cashel Street, Christchurch Central, Christchurch",44872,172.6343,-43.5333,"Christchurch Central","Christchurch","Cashel Street","88 Cashel Street, Christchurch Central, Christchurch",NA,NA
"11",2107870,2958189,"Road",126,"Christchurch Central","Christchurch","102/126","Oxford Terrace","102/126 Oxford Terrace, Christchurch Central, Christchurch",44864,172.6341,-43.5328,"Christchurch Central","Christchurch","Oxford Terrace","102/126 Oxford Terrace, Christchurch Central, Christchurch","102",NA
"12",2107866,2958185,"Road",126,"Christchurch Central","Christchurch","1/126","Oxford Terrace","1/126 Oxford Terrace, Christchurch Central, Christchurch",44864,172.6341,-43.5327,"Christchurch Central","Christchurch","Oxford Terrace","1/126 Oxford Terrace, Christchurch Central, Christchurch","1",NA
"13",2107815,2958015,"Road",79,"Christchurch Central","Christchurch","501/79","Cashel Street","501/79 Cashel Street, Christchurch Central, Christchurch",44872,172.6343,-43.5329,"Christchurch Central","Christchurch","Cashel Street","501/79 Cashel Street, Christchurch Central, Christchurch","501",NA
"14",220273,203015,"Road",95,"Christchurch Central","Christchurch","95","Oxford Terrace","95 Oxford Terrace, Christchurch Central, Christchurch",36747,172.633,-43.5341,"Christchurch Central","Christchurch","Oxford Terrace","95 Oxford Terrace, Christchurch Central, Christchurch",NA,NA
