id,category,content_descriptions,rating,synopsis,rating_class,category_name
427,1,Null,8,Null,E,ESRB
22,1,Null,6,Null,RP,ESRB
62,1,Null,6,Null,RP,ESRB
124,1,Any[],8,Null,E,ESRB
127,1,Any[],10,Null,T,ESRB
431,1,Any[],10,Null,T,ESRB
105,1,Any[],8,Null,E,ESRB
111,1,Any[],11,Null,M,ESRB
223,1,Any[],10,Null,T,ESRB
260,1,Any[],11,Null,M,ESRB
364,1,Null,6,Null,RP,ESRB
1941,1,Null,8,Null,E,ESRB
80,1,Any[],11,Null,M,ESRB
1221,1,Any[],10,Null,T,ESRB
960,1,Null,8,Null,E,ESRB
324,1,Any[],10,Null,T,ESRB
533,1,Null,8,Null,E,ESRB
4438,1,Null,8,Null,E,ESRB
5619,2,Any[49],4,"The content of this game is suitable for persons aged 16 years and over only.
It contains: Realistic looking violence.",Sixteen,PEGI
358,1,Any[],10,Null,T,ESRB
6801,2,Any[49],4,"The content of this game is suitable for persons aged 16 years and over only.
It contains: Realistic looking violence",Sixteen,PEGI
6803,1,Any[],10,Null,T,ESRB
1715,1,Any[],8,Null,E,ESRB
123,1,Any[],9,Null,E10,ESRB
41,1,Any[],9,Null,E10,ESRB
1244,1,Any[],10,Null,T,ESRB
359,1,Any[],10,Null,T,ESRB
1384,1,Any[],9,Null,E10,ESRB
7352,1,Any[],10,Null,T,ESRB
2262,1,Null,8,Null,E,ESRB
1077,1,Null,6,Null,RP,ESRB
2126,1,Null,8,Null,E,ESRB
227,1,Any[],11,Null,M,ESRB
379,1,Null,9,Null,E10,ESRB
228,1,Any[],10,Null,T,ESRB
499,1,Null,8,Null,E,ESRB
421,1,Any[],10,Null,T,ESRB
501,1,Any[],8,Null,E,ESRB
537,1,Null,8,Null,E,ESRB
547,1,Null,10,Null,T,ESRB
562,1,Any[],9,Null,E10,ESRB
16,1,Any[],11,Null,M,ESRB
376,1,Any[],10,Null,T,ESRB
2437,1,Null,6,Null,RP,ESRB
565,1,Any[],10,Null,T,ESRB
558,1,Null,10,Null,T,ESRB
342,1,Null,8,Null,E,ESRB
512,1,Null,8,Null,E,ESRB
1103,1,Null,8,Null,E,ESRB
