id,change_date_category,country,created_at,description,developed,logo,name,slug,start_date,start_date_category,updated_at,url,websites,checksum
8,7,840,1298764800,"2K Games is the main publishing company for Take-Two Interactive, created the day after they acquired the rights for the 2K sports series from Sega along with the purchase of the companies Visual Concepts and Kush Games. 
 
Almost all development studios owned by Take-Two are listed as subsidiaries through 2K Games, or its publishing divisions 2K Sports and 2K Play. 
 
""2K is a videogame publisher managing some of the most creative, respected and premium brands in games today. 
 
Founded in 2005 within Take Two Interactive, 2K develops and publishes interactive entertainment for PC, console and mobile platforms.""","Any[19839, 52937]",36,2K Games,2k-games,1106611200,0,1588032000,https://www.igdb.com/companies/2k-games,Any[424],4f06e086-f039-2c92-4b6b-50149c2ed28f
70,7,392,1300147200,"Nintendo Co., Ltd. is a multinational corporation located in Kyoto, Japan. Founded on September 23, 1889 by Fusajiro Yamauchi, it produced handmade hanafuda cards. By 1963, the company had tried several small niche businesses, such as a cab company and a love hotel. 
 
Nintendo developed into a video game company, becoming one of the most influential in the industry and Japan's third most valuable listed company, with a market value of over US$85 billion. 
 
Besides video games, Nintendo is also the majority owner of the Seattle Mariners, a Major League Baseball team in Seattle, Washington. 
 
According to Nintendo's Touch! Generations website, the name ""Nintendo"" translated from Japanese to English means ""Leave luck to Heaven"".","Any[1032, 1041, 1086, 1087, 1088, 1106, 1112, 1113, 1711, 1713, 2195, 3105, 3350, 3399, 3465, 3664, 3683, 3716, 3894, 3928, 3973, 4600, 4601, 4619, 4625, 5281, 6673, 6694, 9150, 9152, 9250, 9674, 9875, 16617, 16748, 16980, 18064, 18065, 18066, 20054, 20387, 20984, 24957, 25027, 28126, 37136, 37744, 38156, 38319, 40118, 40540, 41246, 41825, 41826, 41829, 42308, 42541, 45139, 48062, 49875, 61319, 67025, 67030, 67200, 67245, 68227, 68332, 68333, 72278, 76247, 77060, 77076, 77228, 77785, 78138, 78269, 82368, 82369, 84920, 90113, 90687, 93531, 103362, 103363, 103364, 106287, 106288, 113436, 115875, 122244, 122245, 122260, 129859, 130310, 134258, 134437, 134468, 134469, 134499, 134500, 135104]",892,Nintendo,nintendo,-1681171200,0,1588809600,https://www.igdb.com/companies/nintendo,Any[1096],f17cd4d5-9810-9fb5-1102-726453aae5db
14329,7,840,1515369600,Null,Any[55935],Null,Team Salvato,team-salvato,Null,7,1580342400,https://www.igdb.com/companies/team-salvato,Null,728f1af8-86ad-692a-1c04-6c8fc702b832
213,0,250,1302134400,"Infogrames Entertainment, SA  was an international French holding company headquartered in Lyon, France. Owner of Atari inc. and Atari Europe along with numerous other companies and studios. Through its subsidiaries, the company published games for every major video game platform.

Infogrames Entertainment, SA renamed itself in 2009 after its subsidiary Atari inc. to Atari, SA.","Any[1874, 1956, 1957, 1959, 2225, 3605, 4190, 4402, 5903, 6225, 7042, 7757, 7973, 9281, 12389, 13013, 13479, 14328, 14900, 15349, 19097, 27613, 36560, 36561, 36562, 37173, 39115, 39743, 43871, 45944, 49298, 53925, 54558, 54628, 55094, 55095, 55096, 55097, 72073]",Null,Infogrames,infogrames,424483200,0,1588550400,https://www.igdb.com/companies/infogrames,Null,92c47f65-2195-867b-ae01-768b56719dd0
104,7,250,1300406400,"When my brothers and I created Ubisoft back in 1986, we started out with a simple motivation: work with passionate people and make fun games. Today, to continue surprising our millions of fans all over the world, we're always on the lookout for new ways to push back the boundaries of creativity and innovation. Beyond simple games, we strive to create immersive and engaging creative worlds that not only offer moments of pure fun, escapism and adventure, but also opportunities for learning and self-discovery. 
 
The video game industry is constantly evolving, and Ubisoft teams and I are eager to take up the next challenges in store so that you can have even more gaming pleasure.","Any[691, 843, 1964, 2279, 3858, 3887, 4162, 4772, 4925, 4926, 5236, 5305, 5326, 5722, 6609, 6758, 6912, 7536, 7919, 7920, 12158, 12725, 12960, 25530, 26270, 36571, 42901, 42917, 53820, 61096, 61351, 62032, 77645, 82078, 82097, 86389, 91311, 97487, 118882, 118898, 118900, 119071, 127328, 132134]",1240,Ubisoft Entertainment,ubisoft-entertainment,512611200,3,1588204800,https://www.igdb.com/companies/ubisoft-entertainment,Any[951],808129a5-3818-2ec3-4872-0b63933c2162
245,7,840,1302220800,"Headquartered just north of Washington, D.C., with offices in North America, Europe, Australia and Asia, ZeniMax Media is a video game publisher, managed by an experienced group of executives, which has assembled a strong creative team of world-class game developers, graphic artists and designers, sound engineers, producers and programmers to create and sell premium video game titles to a growing worldwide market.

ZeniMax creates and publishes original interactive entertainment content for consoles, the PC, and handheld/wireless devices. Its Bethesda Softworks division, founded in 1986 in the early days of the industry, has a long history of success as a publisher of award-winning video games. In addition, the ZeniMax group includes some of the most acclaimed development studios in the world. The Company's growing library of intellectual properties includes such major franchises as The Elder Scrolls, Fallout, Dishonored, DOOM, QUAKE, Wolfenstein, Enemy Territory, and RAGE.",Null,50,ZeniMax Media,zenimax-media,925516800,1,1556928000,https://www.igdb.com/companies/zenimax-media,Any[886],99d24db6-ed27-a35b-50df-74001970d447
753,0,40,1339372800,"From the main company:
""Nordic Games is also the name of the Group’s publishing unit, which handles the operative business of the group-wide IP catalogue, with its head office in Vienna, Austria.

The publishing unit originally started in 2008, with its main purpose being to create more content to the Game Outlet pallet concept.""

From the publisher website:
""Nordic Games GmbH is a wholly owned publishing subsidiary of Nordic Games Group AB.

Founded in 2011, the Vienna/Austria based company Nordic Games GmbH puts great emphasis on its extensive game catalogue. The core portfolio comprises products and brands which have been acquired from JoWooD Entertainment AG and DreamCatcher Interactive Inc., and other IPs and trademarks.

The company will pursue the long-term goal of delivering quality products that live up to expectations of gamers worldwide.""",Any[10887],815,Nordic Games Publishing,nordic-games-publishing,1230681600,2,1577577600,https://www.igdb.com/companies/nordic-games-publishing,Any[984],3b2eb13f-ab54-30eb-dd72-c17b17fd0cc8
4602,7,724,1421366400,Null,"Any[2637, 28170, 75239]",1412,BlitWorks,blitworks,1341187200,0,1548115200,https://www.igdb.com/companies/blitworks,Any[1352],71ca4718-0498-d8f9-5893-d680e636d69f
1396,7,203,1381449600,Null,"Any[2990, 6611, 8621, 15537, 15731, 57263, 63472, 110834, 122766]",361,Amanita Design,amanita-design,1072828800,2,1599955200,https://www.igdb.com/companies/amanita-design,Any[800],7a1e1dc9-7f18-28e6-6e05-92b033dd5394
129,7,392,1301270400,"Konami Holdings Corporation, commonly referred to as Konami, is a Japanese entertainment and gaming conglomerate. It operates as a product distributor, video game developer and publisher company. It also operates health and physical fitness clubs across Japan.","Any[374, 377, 1114, 1115, 1116, 1117, 1118, 1119, 1120, 1123, 1124, 1125, 1127, 1128, 1130, 1131, 1132, 1135, 1136, 1137, 1138, 1139, 1140, 1141, 1142, 1145, 1147, 1263, 1264, 1450, 1452, 1453, 1454, 1456, 1475, 1476, 1477, 1478, 1479, 1480, 1481, 1485, 1486, 1685, 2285, 2363, 2484, 2748, 2826, 2941, 3369, 3500, 3507, 3508, 3513, 3514, 3515, 3516, 3517, 3524, 3525, 3526, 3527, 3528, 3529, 3545, 3546, 3562, 3581, 3680, 3681, 3710, 3815, 3816, 3847, 3880, 3881, 3882, 3904, 3905, 3906, 3908, 3909, 3957, 3958, 3967, 3970, 4022, 4082, 4196, 4197, 4290, 4370, 4404, 4501, 4555, 4569, 4582, 4592, 4598, 4607, 4615, 4618, 4622, 4623, 4627, 4630, 4647, 4651, 4652, 4699, 5009, 5010, 5346, 5398, 5451, 5561, 5600, 5681, 5701, 5708, 5800, 5801, 5802, 5803, 5804, 5806, 5825, 6052, 6115, 6329, 6351, 6397, 6398, 6411, 6439, 6481, 6483, 6494, 6543, 6545, 6570, 6588, 6589, 6590, 6591, 6669, 6697, 6698, 6699, 6757, 6795, 6811, 6850, 6953, 6954, 6955, 6956, 6957, 7167, 7756, 7771, 7788, 7848, 8013, 8046, 8047, 8048, 8049, 8050, 8051, 8052, 8566, 8740, 9766, 9876, 10273, 10612, 11116, 11144, 11185, 11469, 11471, 11472, 11473, 11474, 11522, 11641, 12075, 12308, 12717, 13246, 13509, 13670, 13831, 14697, 14731, 14733, 15487, 15829, 15915, 16476, 17477, 18021, 18170, 18192, 18630, 18639, 18916, 18921, 19468, 19709, 19714, 19727, 19747, 20158, 20192, 20443, 20495, 20903, 21888, 22388, 22390, 22513, 22520, 22703, 22911, 23467, 23686, 24062, 24102, 24978, 25692, 25727, 25968, 26024, 26340, 26760, 26893, 27093, 28386, 28392, 28501, 28826, 28862, 28954, 29034, 36671, 36672, 36791, 37065, 37305, 37307, 37918, 38391, 38580, 39290, 39304, 39324, 39340, 39373, 39480, 39632, 39638, 39999, 40080, 40218, 40882, 41041, 41689, 41693, 42412, 42473, 42482, 44480, 44711, 45047, 45458, 46772, 46773, 46774, 47301, 48251, 48274, 48292, 48505, 48512, 48576, 48612, 48613, 48985, 49171, 49182, 49211, 49304, 49379, 49418, 50002, 50833, 50834, 51279, 51948, 52195, 55088, 55212, 56042, 56977, 56978, 56980, 57150, 59007, 59346, 59398, 60782, 60818, 63398, 65604, 68284, 68337, 69187, 70709, 73130, 74283, 74409, 75525, 77250, 77256, 77257, 78163, 78165, 78166, 78167, 78590, 79704, 82429, 84164, 86386, 96485, 98976, 99813, 99818, 103343, 103368, 109032, 109606, 110865, 112573, 119385, 121242, 121244, 121826, 125015, 128475, 131795, 131796, 132805, 133917, 134079, 134080, 134261, 135089]",1793,Konami,konami,-24710400,0,1588291200,https://www.igdb.com/companies/konami,Any[257],dc62151c-a960-d029-9f72-e76c3aa347ba
